Timestamp,Calculator,Width,Height,Iterations,Threads,TimeMs,Zoom
2026-01-20T16:32:26.7797147+01:00,Parallel,2000,2000,1000,34,460,1,000000
2026-01-20T16:32:27.2404334+01:00,Parallel,2000,2000,1000,35,458,1,000000
2026-01-20T16:32:27.7775385+01:00,Parallel,2000,2000,1000,36,534,1,000000
2026-01-20T16:32:28.3357722+01:00,Parallel,2000,2000,1000,37,555,1,000000
2026-01-20T16:32:28.8564279+01:00,Parallel,2000,2000,1000,38,517,1,000000
2026-01-20T16:32:29.4681259+01:00,Parallel,2000,2000,1000,39,609,1,000000
2026-01-20T16:32:29.9606051+01:00,Parallel,2000,2000,1000,40,489,1,000000
2026-01-20T16:32:30.4154583+01:00,Parallel,2000,2000,1000,41,452,1,000000
2026-01-20T16:32:30.8742269+01:00,Parallel,2000,2000,1000,42,451,1,000000
2026-01-20T16:32:31.3299762+01:00,Parallel,2000,2000,1000,43,451,1,000000
2026-01-20T16:32:31.8040858+01:00,Parallel,2000,2000,1000,44,471,1,000000
2026-01-20T16:32:32.2571851+01:00,Parallel,2000,2000,1000,45,450,1,000000
2026-01-20T16:32:32.7218527+01:00,Parallel,2000,2000,1000,46,462,1,000000
2026-01-20T16:32:33.1884291+01:00,Parallel,2000,2000,1000,47,464,1,000000
2026-01-20T16:32:33.6461264+01:00,Parallel,2000,2000,1000,48,455,1,000000
2026-01-20T16:32:34.1012727+01:00,Parallel,2000,2000,1000,49,453,1,000000
2026-01-20T16:32:34.5566038+01:00,Parallel,2000,2000,1000,50,452,1,000000
2026-01-20T16:32:35.0323566+01:00,Parallel,2000,2000,1000,51,473,1,000000
2026-01-20T16:32:35.5217530+01:00,Parallel,2000,2000,1000,52,486,1,000000
2026-01-20T16:32:35.9873013+01:00,Parallel,2000,2000,1000,53,462,1,000000
2026-01-20T16:32:36.4419649+01:00,Parallel,2000,2000,1000,54,452,1,000000
2026-01-20T16:32:36.9017084+01:00,Parallel,2000,2000,1000,55,456,1,000000
2026-01-20T16:32:37.3596239+01:00,Parallel,2000,2000,1000,56,454,1,000000
2026-01-20T16:32:37.8214186+01:00,Parallel,2000,2000,1000,57,458,1,000000
2026-01-20T16:32:38.2784070+01:00,Parallel,2000,2000,1000,58,454,1,000000
2026-01-20T16:32:38.7386431+01:00,Parallel,2000,2000,1000,59,457,1,000000
2026-01-20T16:32:39.2000225+01:00,Parallel,2000,2000,1000,60,458,1,000000
2026-01-20T16:32:39.6796244+01:00,Parallel,2000,2000,1000,61,475,1,000000
2026-01-20T16:32:40.1508856+01:00,Parallel,2000,2000,1000,62,468,1,000000
2026-01-20T16:32:40.6046966+01:00,Parallel,2000,2000,1000,63,450,1,000000
2026-01-20T16:32:41.0713522+01:00,Parallel,2000,2000,1000,64,462,1,000000
