Timestamp,Calculator,Width,Height,Iterations,Threads,TimeMs,Zoom
2026-01-20T16:32:14.1533908+01:00,Parallel,2000,2000,1000,1,1364,1,000000
2026-01-20T16:32:14.9859574+01:00,Parallel,2000,2000,1000,2,824,1,000000
2026-01-20T16:32:15.5555807+01:00,Parallel,2000,2000,1000,3,567,1,000000
2026-01-20T16:32:15.9935122+01:00,Parallel,2000,2000,1000,4,435,1,000000
2026-01-20T16:32:16.4029659+01:00,Parallel,2000,2000,1000,5,407,1,000000
2026-01-20T16:32:16.7402612+01:00,Parallel,2000,2000,1000,6,335,1,000000
2026-01-20T16:32:17.1121850+01:00,Parallel,2000,2000,1000,7,370,1,000000
2026-01-20T16:32:17.4025953+01:00,Parallel,2000,2000,1000,8,285,1,000000
2026-01-20T16:32:17.6920650+01:00,Parallel,2000,2000,1000,9,287,1,000000
2026-01-20T16:32:18.0014097+01:00,Parallel,2000,2000,1000,10,306,1,000000
2026-01-20T16:32:18.3128583+01:00,Parallel,2000,2000,1000,11,308,1,000000
2026-01-20T16:32:18.7026829+01:00,Parallel,2000,2000,1000,12,382,1,000000
2026-01-20T16:32:19.0165867+01:00,Parallel,2000,2000,1000,13,311,1,000000
2026-01-20T16:32:19.3297820+01:00,Parallel,2000,2000,1000,14,291,1,000000
2026-01-20T16:32:19.6122047+01:00,Parallel,2000,2000,1000,15,279,1,000000
2026-01-20T16:32:19.8802067+01:00,Parallel,2000,2000,1000,16,265,1,000000
2026-01-20T16:32:20.1504747+01:00,Parallel,2000,2000,1000,17,267,1,000000
2026-01-20T16:32:20.4227239+01:00,Parallel,2000,2000,1000,18,270,1,000000
2026-01-20T16:32:20.7085657+01:00,Parallel,2000,2000,1000,19,284,1,000000
2026-01-20T16:32:20.9898218+01:00,Parallel,2000,2000,1000,20,277,1,000000
2026-01-20T16:32:21.2739635+01:00,Parallel,2000,2000,1000,21,280,1,000000
2026-01-20T16:32:21.5293692+01:00,Parallel,2000,2000,1000,22,250,1,000000
2026-01-20T16:32:21.7867749+01:00,Parallel,2000,2000,1000,23,254,1,000000
2026-01-20T16:32:22.0756808+01:00,Parallel,2000,2000,1000,24,286,1,000000
2026-01-20T16:32:22.5410316+01:00,Parallel,2000,2000,1000,25,461,1,000000
2026-01-20T16:32:23.0573369+01:00,Parallel,2000,2000,1000,26,511,1,000000
2026-01-20T16:32:23.5202619+01:00,Parallel,2000,2000,1000,27,459,1,000000
2026-01-20T16:32:23.9798322+01:00,Parallel,2000,2000,1000,28,456,1,000000
2026-01-20T16:32:24.4442170+01:00,Parallel,2000,2000,1000,29,461,1,000000
2026-01-20T16:32:24.9049818+01:00,Parallel,2000,2000,1000,30,457,1,000000
2026-01-20T16:32:25.3795245+01:00,Parallel,2000,2000,1000,31,471,1,000000
2026-01-20T16:32:25.8518175+01:00,Parallel,2000,2000,1000,32,468,1,000000
2026-01-20T16:32:26.3167916+01:00,Parallel,2000,2000,1000,33,458,1,000000
